exercise_id,external_id,name,category,existing_movement_pattern,proposed_movement_pattern,existing_primary_muscles,existing_secondary_muscles,primary_muscles,secondary_muscles,involved_muscles,unmapped_muscle_labels,proposed_volume_credits,volume_policy,primary_assignment,equipment,laterality,measurement_type,exercise_kind,fatigue_cost,skill_demand,program_roles,default_rep_min,default_rep_max,warmup_eligible,power_eligible,ramp_eligible,cooldown_eligible,review_required,review_reason,confidence,provenance,demand_notes
master:54,54,Back Squat,Compound,squat,squat,quads,,quads,glutes; adductors; abs,quads; glutes; adductors; abs,,quads:1; glutes:0.5,strength_hypertrophy,assigned,Barbell,bilateral,reps,compound,high,medium,primary; secondary,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Squat | quality_pass_BIQ-0212 | review_only_not_applied,"compound squat; high fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits quads:1, glutes:0.5"
master:124,124,Band Pull-Apart,Prehab,other,other,upper_back,,,upper_back; rear_delts; rotator_cuff,upper_back; rear_delts; rotator_cuff,,,zero_non_hypertrophy,none_intentional,Bands,bilateral,reps,isolation,low,low,warmup; isolation; accessory,1,8,true,false,false,true,false,,high,builtiq_master | master_movement=Horizontal Abduction | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; low skill; bilateral; reps measurement; volume policy zero_non_hypertrophy; no hypertrophy primary by design; zero hypertrophy volume credit
master:241,241,Battle Rope Slams,Conditioning,other,other,lats,,,lats; abs,lats; abs,,,zero_non_hypertrophy,none_intentional,Battle Ropes,bilateral,time,isolation,low,medium,accessory,20,45,false,false,false,false,false,,high,builtiq_master | master_movement=Conditioning | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; medium skill; bilateral; time measurement; volume policy zero_non_hypertrophy; no hypertrophy primary by design; zero hypertrophy volume credit
master:240,240,Battle Rope Waves,Conditioning,other,other,side_delts,,,abs,abs,,,zero_non_hypertrophy,none_intentional,Battle Ropes,bilateral,time,isolation,low,medium,accessory,20,45,false,false,false,false,false,,high,builtiq_master | master_movement=Conditioning | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; medium skill; bilateral; time measurement; volume policy zero_non_hypertrophy; no hypertrophy primary by design; zero hypertrophy volume credit
master:178,178,Bear Crawl,Conditioning,other,other,abs,,,abs; quads; hip_flexors,abs; quads; hip_flexors,,,zero_non_hypertrophy,none_intentional,Bodyweight,bilateral,distance,isolation,low,medium,accessory,20,40,false,false,false,false,false,,high,builtiq_master | master_movement=Locomotion | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; medium skill; bilateral; distance measurement; volume policy zero_non_hypertrophy; no hypertrophy primary by design; zero hypertrophy volume credit
master:59,59,Belt Squat,Compound,squat,squat,quads,,quads,glutes; adductors,quads; glutes; adductors,,quads:1; glutes:0.5,strength_hypertrophy,assigned,Machine,bilateral,reps,compound,medium,medium,secondary; accessory,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Squat | quality_pass_BIQ-0212 | review_only_not_applied,"compound squat; medium fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits quads:1, glutes:0.5"
master:53,53,Bench Dip,Bodyweight,vertical_push,vertical_push,triceps,,triceps,chest; front_delts,triceps; chest; front_delts,,triceps:1,strength_hypertrophy,assigned,Bodyweight,bilateral,reps,compound,medium,medium,secondary; accessory,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Vertical Push | quality_pass_BIQ-0212 | review_only_not_applied,compound vertical push; medium fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits triceps:1
master:1,1,Bench Press,Compound,horizontal_push,horizontal_push,chest,,chest,triceps; front_delts,chest; triceps; front_delts,,chest:1; triceps:0.5; front_delts:0.5,strength_hypertrophy,assigned,Barbell,bilateral,reps,compound,high,medium,primary; secondary,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Horizontal Push | quality_pass_BIQ-0212 | review_only_not_applied,"compound horizontal push; high fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits chest:1, triceps:0.5, front_delts:0.5"
master:13,13,Bent-Over Row,Compound,horizontal_pull,horizontal_pull,,,lats,upper_back; rear_delts; biceps; spinal_erectors,lats; upper_back; rear_delts; biceps; spinal_erectors,,lats:1; upper_back:0.5,strength_hypertrophy,assigned,Barbell,bilateral,reps,compound,high,medium,primary; secondary,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Horizontal Pull | quality_pass_BIQ-0212 | review_only_not_applied,"compound horizontal pull; high fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits lats:1, upper_back:0.5"
master:39,39,Biceps Curl,Isolation,other,elbow_flexion,biceps,,biceps,forearms,biceps; forearms,,biceps:1,strength_hypertrophy,assigned,Dumbbell,bilateral,reps,isolation,low,low,isolation; accessory,8,15,false,false,false,false,false,,high,builtiq_master | master_movement=Elbow Flexion | quality_pass_BIQ-0212 | review_only_not_applied,isolation elbow flexion; low fatigue; low skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits biceps:1
master:216,216,Bicycle Crunch,Core,rotation,core_flexion,obliques,,obliques,abs; hip_flexors,obliques; abs; hip_flexors,,obliques:1,core,assigned,Bodyweight,alternating,reps,isolation,low,medium,isolation; accessory,8,15,false,false,false,false,false,,high,builtiq_master | master_movement=Rotation/Flexion | quality_pass_BIQ-0212 | review_only_not_applied,isolation core flexion; low fatigue; medium skill; alternating; reps measurement; volume policy core; hypertrophy credits obliques:1
master:243,243,Bike Sprint,Cardio,other,other,quads,,,quads; glutes; calves,quads; glutes; calves,,,zero_non_hypertrophy,none_intentional,Bike,bilateral,time,isolation,low,medium,accessory,180,600,false,false,false,false,false,,high,builtiq_master | master_movement=Cardio | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; medium skill; bilateral; time measurement; volume policy zero_non_hypertrophy; no hypertrophy primary by design; zero hypertrophy volume credit
master:97,97,Bird Dog,Core Control,rotation,core_anti_rotation,abs,,abs,glutes,abs; glutes,Back,abs:1,core,assigned,Bodyweight,alternating,reps,isolation,low,medium,isolation; accessory,8,15,false,false,false,false,false,,medium,builtiq_master | master_movement=Anti-Rotation | quality_pass_BIQ-0212 | review_only_not_applied,isolation core anti rotation; low fatigue; medium skill; alternating; reps measurement; volume policy core; hypertrophy credits abs:1
master:193,193,Block Pull,Compound,hinge,hinge,upper_back,,glutes,hamstrings; upper_back; spinal_erectors,glutes; hamstrings; upper_back; spinal_erectors,Back,glutes:1; hamstrings:0.5,strength_hypertrophy,assigned,Barbell,bilateral,reps,compound,high,medium,primary; secondary,5,10,false,false,true,false,false,,medium,builtiq_master | master_movement=Hinge | quality_pass_BIQ-0212 | review_only_not_applied,"compound hinge; high fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits glutes:1, hamstrings:0.5"
master:114,114,Box Jump,Plyometric,squat,jump,quads,,,quads; glutes; calves,quads; glutes; calves,,,zero_non_hypertrophy,none_intentional,Bodyweight,bilateral,reps,compound,medium,medium,power; secondary; accessory,1,5,false,true,false,false,false,,high,builtiq_master | master_movement=Jump | quality_pass_BIQ-0212 | review_only_not_applied,compound jump; medium fatigue; medium skill; bilateral; reps measurement; volume policy zero_non_hypertrophy; no hypertrophy primary by design; zero hypertrophy volume credit
master:198,198,Box Squat,Compound,squat,squat,quads,,quads,glutes; hamstrings,quads; glutes; hamstrings,,quads:1; glutes:0.5,strength_hypertrophy,assigned,Barbell,bilateral,reps,compound,medium,medium,secondary; accessory,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Squat | quality_pass_BIQ-0212 | review_only_not_applied,"compound squat; medium fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits quads:1, glutes:0.5"
master:116,116,Broad Jump,Plyometric,squat,jump,glutes,,,glutes; quads; hamstrings; calves,glutes; quads; hamstrings; calves,,,zero_non_hypertrophy,none_intentional,Bodyweight,bilateral,reps,compound,medium,medium,power; secondary; accessory,1,5,false,true,false,false,false,,high,builtiq_master | master_movement=Horizontal Jump | quality_pass_BIQ-0212 | review_only_not_applied,compound jump; medium fatigue; medium skill; bilateral; reps measurement; volume policy zero_non_hypertrophy; no hypertrophy primary by design; zero hypertrophy volume credit
master:61,61,Bulgarian Split Squat,Unilateral,squat,lunge,quads,,quads,glutes; adductors,quads; glutes; adductors,,quads:1; glutes:0.5,strength_hypertrophy,assigned,Dumbbell,unilateral,reps,compound,high,medium,secondary; accessory,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Lunge | quality_pass_BIQ-0212 | review_only_not_applied,"compound lunge; high fatigue; medium skill; unilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits quads:1, glutes:0.5"
master:99,99,Cable Chop,Core,rotation,core_rotation,obliques,,obliques,abs,obliques; abs,,obliques:1,core,assigned,Cable,bilateral,reps,isolation,low,medium,isolation; accessory,8,15,false,false,false,false,false,,high,builtiq_master | master_movement=Rotation | quality_pass_BIQ-0212 | review_only_not_applied,isolation core rotation; low fatigue; medium skill; bilateral; reps measurement; volume policy core; hypertrophy credits obliques:1
master:102,102,Cable Crunch,Core,other,core_flexion,abs,,abs,,abs,,abs:1,core,assigned,Cable,bilateral,reps,isolation,low,medium,isolation; accessory,8,15,false,false,false,false,false,,high,builtiq_master | master_movement=Spinal Flexion | quality_pass_BIQ-0212 | review_only_not_applied,isolation core flexion; low fatigue; medium skill; bilateral; reps measurement; volume policy core; hypertrophy credits abs:1
master:165,165,Cable Deadlift,Compound,hinge,hinge,glutes,,glutes,hamstrings,glutes; hamstrings,Back,glutes:1; hamstrings:0.5,strength_hypertrophy,assigned,Cable,bilateral,reps,compound,high,medium,primary; secondary,5,10,false,false,true,false,false,,medium,builtiq_master | master_movement=Hinge | quality_pass_BIQ-0212 | review_only_not_applied,"compound hinge; high fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits glutes:1, hamstrings:0.5"
master:158,158,Cable External Rotation,Prehab,rotation,other,,,,rotator_cuff; rear_delts,rotator_cuff; rear_delts,,,zero_non_hypertrophy,none_intentional,Cable,bilateral,reps,isolation,low,low,warmup; isolation; accessory,1,8,true,false,false,true,false,,high,builtiq_master | master_movement=External Rotation | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; low skill; bilateral; reps measurement; volume policy zero_non_hypertrophy; no hypertrophy primary by design; zero hypertrophy volume credit
master:154,154,Cable Front Raise,Isolation,other,other,front_delts,,front_delts,,front_delts,,front_delts:1,strength_hypertrophy,assigned,Cable,bilateral,reps,isolation,low,low,isolation; accessory,8,15,false,false,false,false,false,,high,builtiq_master | master_movement=Shoulder Flexion | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; low skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits front_delts:1
master:161,161,Cable Hip Abduction,Isolation,other,other,,,glutes,,glutes,,glutes:1,strength_hypertrophy,assigned,Cable,bilateral,reps,isolation,low,medium,isolation; accessory,8,15,false,false,false,false,false,,high,builtiq_master | master_movement=Hip Abduction | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits glutes:1
master:162,162,Cable Hip Adduction,Isolation,other,other,adductors,,adductors,,adductors,,adductors:1,strength_hypertrophy,assigned,Cable,bilateral,reps,isolation,low,medium,isolation; accessory,8,15,false,false,false,false,false,,high,builtiq_master | master_movement=Hip Adduction | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits adductors:1
master:160,160,Cable Hip Flexion,Isolation,other,other,hip_flexors,,hip_flexors,quads; abs,hip_flexors; quads; abs,,hip_flexors:1,strength_hypertrophy,assigned,Cable,bilateral,reps,isolation,low,medium,isolation; accessory,8,15,false,false,false,false,false,,high,builtiq_master | master_movement=Hip Flexion | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits hip_flexors:1
master:159,159,Cable Internal Rotation,Prehab,rotation,other,,,,rotator_cuff,rotator_cuff,,,zero_non_hypertrophy,none_intentional,Cable,bilateral,reps,isolation,low,low,warmup; isolation; accessory,1,8,true,false,false,true,false,,high,builtiq_master | master_movement=Internal Rotation | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; low skill; bilateral; reps measurement; volume policy zero_non_hypertrophy; no hypertrophy primary by design; zero hypertrophy volume credit
master:153,153,Cable Lateral Raise,Isolation,other,shoulder_abduction,side_delts,,side_delts,,side_delts,,side_delts:1,strength_hypertrophy,assigned,Cable,bilateral,reps,isolation,low,low,isolation; accessory,8,15,false,false,false,false,false,,high,builtiq_master | master_movement=Shoulder Abduction | quality_pass_BIQ-0212 | review_only_not_applied,isolation shoulder abduction; low fatigue; low skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits side_delts:1
master:163,163,Cable Leg Curl,Isolation,other,knee_flexion,hamstrings,,hamstrings,,hamstrings,,hamstrings:1,strength_hypertrophy,assigned,Cable,bilateral,reps,isolation,low,low,isolation; accessory,8,15,false,false,false,false,false,,high,builtiq_master | master_movement=Knee Flexion | quality_pass_BIQ-0212 | review_only_not_applied,isolation knee flexion; low fatigue; low skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits hamstrings:1
master:164,164,Cable Leg Extension,Isolation,other,other,quads,,quads,,quads,,quads:1,strength_hypertrophy,assigned,Cable,bilateral,reps,isolation,low,medium,isolation; accessory,8,15,false,false,false,false,false,,high,builtiq_master | master_movement=Knee Extension | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits quads:1
master:100,100,Cable Lift,Core,rotation,core_rotation,obliques,,obliques,abs,obliques; abs,,obliques:1,core,assigned,Cable,bilateral,reps,isolation,low,medium,isolation; accessory,8,15,false,false,false,false,false,,high,builtiq_master | master_movement=Rotation | quality_pass_BIQ-0212 | review_only_not_applied,isolation core rotation; low fatigue; medium skill; bilateral; reps measurement; volume policy core; hypertrophy credits obliques:1
master:155,155,Cable Reverse Fly,Isolation,other,other,rear_delts,,rear_delts,upper_back,rear_delts; upper_back,,rear_delts:1,strength_hypertrophy,assigned,Cable,bilateral,reps,isolation,low,medium,isolation; accessory,8,15,false,false,false,false,false,,high,builtiq_master | master_movement=Horizontal Abduction | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits rear_delts:1
master:156,156,Cable Row to Neck,Accessory,horizontal_pull,horizontal_pull,rear_delts,,rear_delts,upper_back; biceps,rear_delts; upper_back; biceps,,rear_delts:1; biceps:0.5,strength_hypertrophy,assigned,Cable,bilateral,reps,compound,medium,medium,secondary; accessory,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Horizontal Pull | quality_pass_BIQ-0212 | review_only_not_applied,"compound horizontal pull; medium fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits rear_delts:1, biceps:0.5"
master:166,166,Cable Squat,Compound,squat,squat,quads,,quads,glutes; abs,quads; glutes; abs,,quads:1; glutes:0.5,strength_hypertrophy,assigned,Cable,bilateral,reps,compound,medium,medium,secondary; accessory,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Squat | quality_pass_BIQ-0212 | review_only_not_applied,"compound squat; medium fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits quads:1, glutes:0.5"
master:157,157,Cable Y Raise,Prehab,other,shoulder_abduction,,,upper_back,rear_delts; serratus,upper_back; rear_delts; serratus,,,zero_non_hypertrophy,assigned,Cable,bilateral,reps,isolation,low,low,warmup; isolation; accessory,1,8,true,false,false,true,true,primary_lower_trap_vs_rear_delt_ambiguity,review,builtiq_master | master_movement=Scapular Raise | quality_pass_BIQ-0212 | review_only_not_applied,isolation shoulder abduction; low fatigue; low skill; bilateral; reps measurement; volume policy zero_non_hypertrophy; zero hypertrophy volume credit
master:211,211,Calf Press,Isolation,other,calf_raise,calves,,calves,,calves,,calves:1,strength_hypertrophy,assigned,Machine,bilateral,reps,isolation,low,medium,isolation; accessory,8,15,false,false,false,false,false,,high,builtiq_master | master_movement=Plantar Flexion | quality_pass_BIQ-0212 | review_only_not_applied,isolation calf raise; low fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits calves:1
master:133,133,Calf Stretch,Mobility,rotation,other,calves,,,calves,calves,,,zero_non_hypertrophy,none_intentional,Bodyweight,bilateral,reps,isolation,low,low,warmup; isolation; accessory,1,8,true,false,false,true,false,,high,builtiq_master | master_movement=Ankle Mobility | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; low skill; bilateral; reps measurement; volume policy zero_non_hypertrophy; no hypertrophy primary by design; zero hypertrophy volume credit
master:139,139,Cat-Cow,Mobility,rotation,other,,,,abs,abs,Spine,,zero_non_hypertrophy,none_intentional,Bodyweight,bilateral,reps,isolation,low,low,warmup; isolation; accessory,1,8,true,false,false,true,false,,medium,builtiq_master | master_movement=Spinal Mobility | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; low skill; bilateral; reps measurement; volume policy zero_non_hypertrophy; no hypertrophy primary by design; zero hypertrophy volume credit
master:4,4,Chest Fly,Isolation,other,horizontal_push,chest,,chest,front_delts,chest; front_delts,,chest:1,strength_hypertrophy,assigned,Cable,bilateral,reps,isolation,low,medium,isolation; accessory,8,15,false,false,false,false,false,,high,builtiq_master | master_movement=Horizontal Adduction | quality_pass_BIQ-0212 | review_only_not_applied,isolation horizontal push; low fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits chest:1
master:15,15,Chest-Supported Row,Compound,horizontal_pull,horizontal_pull,,,upper_back,lats; rear_delts; biceps,upper_back; lats; rear_delts; biceps,,upper_back:1; biceps:0.5,strength_hypertrophy,assigned,Dumbbell,bilateral,reps,compound,medium,medium,secondary; accessory,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Horizontal Pull | quality_pass_BIQ-0212 | review_only_not_applied,"compound horizontal pull; medium fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits upper_back:1, biceps:0.5"
master:229,229,Child's Pose,Mobility,rotation,other,upper_back,,,lats; hip_flexors,lats; hip_flexors,Back,,zero_non_hypertrophy,none_intentional,Bodyweight,bilateral,reps,isolation,low,low,warmup; isolation; accessory,1,8,true,false,false,true,false,,medium,builtiq_master | master_movement=Spinal/Hip Mobility | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; low skill; bilateral; reps measurement; volume policy zero_non_hypertrophy; no hypertrophy primary by design; zero hypertrophy volume credit
master:24,24,Chin-Up,Compound,vertical_pull,vertical_pull,lats,,lats,biceps; upper_back,lats; biceps; upper_back,,lats:1; biceps:0.5,strength_hypertrophy,assigned,Bodyweight,bilateral,reps,compound,high,medium,primary; secondary,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Vertical Pull | quality_pass_BIQ-0212 | review_only_not_applied,"compound vertical pull; high fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits lats:1, biceps:0.5"
master:89,89,Clamshell,Prehab,rotation,other,,,,glutes,glutes,Glute Minimus,,zero_non_hypertrophy,none_intentional,Bands,unilateral,reps,isolation,low,low,warmup; isolation; accessory,1,8,true,false,false,true,false,,medium,builtiq_master | master_movement=Hip External Rotation | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; low skill; unilateral; reps measurement; volume policy zero_non_hypertrophy; no hypertrophy primary by design; zero hypertrophy volume credit
master:256,256,Clean & Jerk,Power,hinge,olympic,,,,glutes; quads; hamstrings; upper_back; front_delts; triceps,glutes; quads; hamstrings; upper_back; front_delts; triceps,,,zero_non_hypertrophy,none_intentional,Barbell,bilateral,reps,compound,high,high,power,1,2,false,true,true,false,false,,high,builtiq_master | master_movement=Hinge/Power | quality_pass_BIQ-0212 | review_only_not_applied,Olympic/power lift. High technical and systemic demand; zero hypertrophy set credit.; compound olympic; high fatigue; high skill; bilateral; reps measurement; volume policy zero_non_hypertrophy; no hypertrophy primary by design; zero hypertrophy volume credit
master:51,51,Close-Grip Press,Compound,horizontal_push,horizontal_push,triceps,,triceps,chest; front_delts,triceps; chest; front_delts,,triceps:1; front_delts:0.5,strength_hypertrophy,assigned,Barbell,bilateral,reps,compound,medium,medium,secondary; accessory,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Horizontal Push | quality_pass_BIQ-0212 | review_only_not_applied,"compound horizontal push; medium fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits triceps:1, front_delts:0.5"
master:21,21,Close-Grip Pulldown,Compound,vertical_pull,vertical_pull,lats,,lats,biceps; upper_back,lats; biceps; upper_back,,lats:1; biceps:0.5,strength_hypertrophy,assigned,Cable,bilateral,reps,compound,medium,medium,secondary; accessory,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Vertical Pull | quality_pass_BIQ-0212 | review_only_not_applied,"compound vertical pull; medium fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits lats:1, biceps:0.5"
master:43,43,Concentration Curl,Isolation,other,elbow_flexion,biceps,,biceps,,biceps,,biceps:1,strength_hypertrophy,assigned,Dumbbell,bilateral,reps,isolation,low,low,isolation; accessory,8,15,false,false,false,false,false,,high,builtiq_master | master_movement=Elbow Flexion | quality_pass_BIQ-0212 | review_only_not_applied,isolation elbow flexion; low fatigue; low skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits biceps:1
