id,name,external_source,external_id,exercise_type,category,muscle_group,equipment,movement_pattern,instructions,thumbnail_url,gif_url,media_url,is_system,is_archived
1709,assisted lying glutes stretch,exercisedb,1709,upper legs,upper legs,hamstrings,assisted,,"Lie on your back with your legs extended. Bend your right knee and place your right ankle on your left thigh, just above the knee. Grasp your left thigh with both hands and gently pull it towards your chest. Hold the stretch for 20-30 seconds. Release and repeat on the other side.",images/1709-yn0LjwL.jpg,videos/1709-yn0LjwL.gif,videos/1709-yn0LjwL.gif,true,false
1710,assisted lying gluteus and piriformis stretch,exercisedb,1710,upper legs,upper legs,hamstrings,assisted,,"Lie on your back with your legs extended. Bend your right knee and place your right ankle on your left thigh, just above the knee. Grasp your left thigh with both hands and gently pull it towards your chest. Hold the stretch for 20-30 seconds. Release the stretch and repeat on the other side.",images/1710-RQNVT10.jpg,videos/1710-RQNVT10.gif,videos/1710-RQNVT10.gif,true,false
0012,assisted lying leg raise with lateral throw down,exercisedb,0012,waist,waist,hip flexors,assisted,,"Lie flat on your back with your legs extended and your arms by your sides. Place your hands under your glutes for support. Engage your abs and lift your legs off the ground, keeping them straight. While keeping your legs together, lower them to one side until they are a few inches above the ground. Pause for a moment, then lift your legs back to the starting position. Repeat the movement to the other side. Continue alternating sides for the desired number of repetitions.",images/0012-UGhRD1A.jpg,videos/0012-UGhRD1A.gif,videos/0012-UGhRD1A.gif,true,false
0013,assisted lying leg raise with throw down,exercisedb,0013,waist,waist,hip flexors,assisted,,"Lie flat on your back with your legs extended and your arms by your sides. Place your hands under your glutes for support. Engage your core and lift your legs off the ground, keeping them straight. Raise your legs until they are perpendicular to the ground. Lower your legs back down to the starting position. Simultaneously, throw your legs down towards the ground, keeping them straight. Raise your legs back up to the starting position. Repeat for the desired number of repetitions.",images/0013-VX5YKR5.jpg,videos/0013-VX5YKR5.gif,videos/0013-VX5YKR5.gif,true,false
0014,assisted motion russian twist,exercisedb,0014,waist,waist,obliques,medicine ball,,"Sit on the ground with your knees bent and feet flat on the floor. Hold the medicine ball with both hands in front of your chest. Lean back slightly, engaging your abs and keeping your back straight. Slowly twist your torso to the right, bringing the medicine ball towards the right side of your body. Pause for a moment, then twist your torso to the left, bringing the medicine ball towards the left side of your body. Continue alternating sides for the desired number of repetitions.",images/0014-r7cT9YD.jpg,videos/0014-r7cT9YD.gif,videos/0014-r7cT9YD.gif,true,false
0015,assisted parallel close grip pull-up,exercisedb,0015,back,back,biceps,leverage machine,,"Adjust the machine to your desired weight and height. Place your hands on the parallel bars with a close grip, palms facing each other. Hang from the bars with your arms fully extended and your feet off the ground. Engage your back muscles and pull your body up towards the bars, keeping your elbows close to your body. Continue pulling until your chin is above the bars. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions.",images/0015-vrhHa6D.jpg,videos/0015-vrhHa6D.gif,videos/0015-vrhHa6D.gif,true,false
0016,assisted prone hamstring,exercisedb,0016,upper legs,upper legs,glutes,assisted,,"Lie face down on a mat or bench with your legs fully extended. Have a partner or use a resistance band to secure your ankles. Engage your hamstrings and lift your legs towards your glutes, keeping your knees straight. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions.",images/0016-VedGSby.jpg,videos/0016-VedGSby.gif,videos/0016-VedGSby.gif,true,false
1713,assisted prone lying quads stretch,exercisedb,1713,upper legs,upper legs,hamstrings,assisted,,"Lie face down on the ground with your legs extended. Bend your left knee and reach back with your left hand to grab your left foot or ankle. Gently pull your left foot towards your glutes, feeling a stretch in your left quad. Hold the stretch for 20-30 seconds, then release. Repeat with your right leg.",images/1713-YUYAMEj.jpg,videos/1713-YUYAMEj.gif,videos/1713-YUYAMEj.gif,true,false
1714,assisted prone rectus femoris stretch,exercisedb,1714,waist,waist,quadriceps,assisted,,"Lie face down on the ground with your legs straight. Bend your right knee and reach back with your right hand to grab your right foot or ankle. Gently pull your right foot or ankle towards your glutes, feeling a stretch in the front of your right thigh. Hold the stretch for 20-30 seconds. Release and repeat on the other side.",images/1714-2Ryn564.jpg,videos/1714-2Ryn564.gif,videos/1714-2Ryn564.gif,true,false
0017,assisted pull-up,exercisedb,0017,back,back,biceps,leverage machine,,"Adjust the machine to your desired weight and height settings. Grasp the handles with an overhand grip, slightly wider than shoulder-width apart. Hang with your arms fully extended and your feet off the ground. Engage your back muscles and pull your body up towards the handles, keeping your elbows close to your body. Continue pulling until your chin is above the handles. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions.",images/0017-kiJ4Z2K.jpg,videos/0017-kiJ4Z2K.gif,videos/0017-kiJ4Z2K.gif,true,false
1716,assisted seated pectoralis major stretch with stability ball,exercisedb,1716,chest,chest,shoulders,assisted,,"Sit on a stability ball with your feet flat on the ground and your back straight. Hold a stability ball with both hands and extend your arms straight out in front of you. Slowly lower the stability ball towards your chest, feeling a stretch in your pectoral muscles. Hold the stretch for a few seconds, then slowly return to the starting position. Repeat for the desired number of repetitions.",images/1716-RoV1Rfa.jpg,videos/1716-RoV1Rfa.gif,videos/1716-RoV1Rfa.gif,true,false
1712,assisted side lying adductor stretch,exercisedb,1712,upper legs,upper legs,hamstrings,assisted,,"Lie on your side with your legs straight and stacked on top of each other. Bend your bottom leg slightly for stability. Place your top foot on a stable surface, such as a bench or step. Keeping your top leg straight, slowly lower it towards the ground, feeling a stretch in your inner thigh. Hold the stretch for 20-30 seconds. Return to the starting position and repeat on the other side.",images/1712-hC6oYY5.jpg,videos/1712-hC6oYY5.gif,videos/1712-hC6oYY5.gif,true,false
1758,assisted sit-up,exercisedb,1758,waist,waist,hip flexors,assisted,,"Sit on the edge of a bench or have someone hold your feet down. Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions.",images/1758-aumB2IV.jpg,videos/1758-aumB2IV.gif,videos/1758-aumB2IV.gif,true,false
1431,assisted standing chin-up,exercisedb,1431,back,back,biceps,leverage machine,,"Adjust the machine to your desired assistance level. Stand on the foot platform and grip the handles with an overhand grip, slightly wider than shoulder-width apart. Keep your chest up and shoulders back, engage your core, and slightly bend your knees. Pull your body up by flexing your elbows and driving your elbows down towards your sides. Continue pulling until your chin is above the bar. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions.",images/1431-7OeHptV.jpg,videos/1431-7OeHptV.gif,videos/1431-7OeHptV.gif,true,false
1432,assisted standing pull-up,exercisedb,1432,back,back,biceps,leverage machine,,"Adjust the machine to your desired weight and height settings. Stand facing the machine with your feet shoulder-width apart. Grasp the handles with an overhand grip, slightly wider than shoulder-width apart. Engage your lats and biceps, and pull yourself up towards the handles. Pause for a moment at the top, squeezing your back muscles. Slowly lower yourself back down to the starting position. Repeat for the desired number of repetitions.",images/1432-f4xtKBj.jpg,videos/1432-f4xtKBj.gif,videos/1432-f4xtKBj.gif,true,false
0018,assisted standing triceps extension (with towel),exercisedb,0018,upper arms,upper arms,shoulders,assisted,,"Stand with your feet shoulder-width apart and hold a towel with both hands behind your head. Keep your elbows close to your ears and your upper arms stationary. Slowly extend your forearms upward, squeezing your triceps at the top. Pause for a moment, then slowly lower the towel back down to the starting position. Repeat for the desired number of repetitions.",images/0018-7HcfMBP.jpg,videos/0018-7HcfMBP.gif,videos/0018-7HcfMBP.gif,true,false
0019,assisted triceps dip (kneeling),exercisedb,0019,upper arms,upper arms,chest,leverage machine,,"Adjust the machine to your desired weight and height. Kneel down on the pad facing the machine, with your hands gripping the handles. Lower your body by bending your elbows, keeping your back straight and close to the machine. Pause for a moment at the bottom, then push yourself back up to the starting position. Repeat for the desired number of repetitions.",images/0019-J60bN17.jpg,videos/0019-J60bN17.gif,videos/0019-J60bN17.gif,true,false
2364,assisted wide-grip chest dip (kneeling),exercisedb,2364,chest,chest,triceps,leverage machine,,Adjust the machine to your desired height and secure your knees on the pad. Grasp the handles with a wide grip and keep your elbows slightly bent. Lower your body by bending your elbows until your upper arms are parallel to the floor. Push yourself back up to the starting position by extending your arms. Repeat for the desired number of repetitions.,images/2364-PnZJIrk.jpg,videos/2364-PnZJIrk.gif,videos/2364-PnZJIrk.gif,true,false
3220,astride jumps (male),exercisedb,3220,cardio,cardio,quadriceps,body weight,,"Stand with your feet shoulder-width apart. Bend your knees and lower your body into a squat position. Jump explosively upwards, extending your legs and arms. While in the air, spread your legs apart and bring your arms out to the sides. Land softly with your feet shoulder-width apart, bending your knees to absorb the impact. Repeat for the desired number of repetitions.",images/3220-f9lVSSI.jpg,videos/3220-f9lVSSI.gif,videos/3220-f9lVSSI.gif,true,false
3672,back and forth step,exercisedb,3672,cardio,cardio,quadriceps,body weight,,"Stand with your feet shoulder-width apart. Step forward with your right foot, bending your knee and lowering your body into a lunge position. Push off with your right foot and step back to the starting position. Repeat the movement with your left foot, alternating legs with each step. Continue stepping back and forth, maintaining a steady pace. Repeat for the desired duration or number of repetitions.",images/3672-fNGumX0.jpg,videos/3672-fNGumX0.gif,videos/3672-fNGumX0.gif,true,false
1314,back extension on exercise ball,exercisedb,1314,back,back,glutes,stability ball,,"Place the stability ball on the ground and lie face down on top of it, with your hips resting on the ball and your feet against a wall or other stable surface. Position your hands behind your head or crossed over your chest. Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line from your head to your heels. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions.",images/1314-qLpO4vV.jpg,videos/1314-qLpO4vV.gif,videos/1314-qLpO4vV.gif,true,false
3297,back lever,exercisedb,3297,back,back,biceps,body weight,,"Start by hanging from a pull-up bar with an overhand grip, hands slightly wider than shoulder-width apart. Engage your core and pull your shoulder blades down and back. Bend your knees and tuck them towards your chest. Slowly lift your legs up, keeping them straight, until your body is parallel to the ground. Hold this position for a few seconds, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions.",images/3297-GaSzzuh.jpg,videos/3297-GaSzzuh.gif,videos/3297-GaSzzuh.gif,true,false
1405,back pec stretch,exercisedb,1405,back,back,shoulders,body weight,,"Stand tall with your feet shoulder-width apart. Extend your arms straight out in front of you, parallel to the ground. Cross your arms in front of your body, with your right arm over your left arm. Interlock your fingers and rotate your palms away from your body. Slowly raise your arms up and away from your body, feeling a stretch in your back and chest. Hold the stretch for 15-30 seconds, then release. Repeat on the opposite side.",images/1405-chfnQnM.jpg,videos/1405-chfnQnM.gif,videos/1405-chfnQnM.gif,true,false
1473,backward jump,exercisedb,1473,upper legs,upper legs,hamstrings,body weight,,"Stand with your feet shoulder-width apart. Bend your knees slightly and jump backwards, pushing off with both feet. Land softly on the balls of your feet, bending your knees to absorb the impact. Repeat for the desired number of repetitions.",images/1473-SaDOwk7.jpg,videos/1473-SaDOwk7.gif,videos/1473-SaDOwk7.gif,true,false
0020,balance board,exercisedb,0020,upper legs,upper legs,calves,body weight,,"Place the balance board on a flat surface. Step onto the balance board with one foot, ensuring it is centered. Slowly shift your weight onto the foot on the balance board, keeping your core engaged. Maintain your balance and stability as you hold the position for a desired amount of time. Repeat the exercise with the other foot.",images/0020-xAySMB0.jpg,videos/0020-xAySMB0.gif,videos/0020-xAySMB0.gif,true,false
0968,band alternating biceps curl,exercisedb,0968,upper arms,upper arms,forearms,band,,"Stand with your feet shoulder-width apart and hold the band with an underhand grip, palms facing up. Keep your elbows close to your sides and slowly curl one arm up towards your shoulder, squeezing your biceps at the top. Lower the arm back down to the starting position and repeat with the other arm. Continue alternating arms for the desired number of repetitions.",images/0968-3omWx6P.jpg,videos/0968-3omWx6P.gif,videos/0968-3omWx6P.gif,true,false
0969,band alternating v-up,exercisedb,0969,waist,waist,hip flexors,band,,"Lie flat on your back with your legs straight and your arms extended overhead, holding the band. Engage your abs and lift your legs and upper body off the ground simultaneously, reaching your hands towards your toes. As you lower your legs and upper body back down, switch the position of your legs, crossing one over the other. Repeat the movement, alternating the position of your legs with each repetition. Continue for the desired number of repetitions.",images/0969-ztAa1RK.jpg,videos/0969-ztAa1RK.gif,videos/0969-ztAa1RK.gif,true,false
0970,band assisted pull-up,exercisedb,0970,back,back,biceps,band,,"Attach the band to a pull-up bar or sturdy anchor point. Step onto the band and grip the bar with your palms facing away from you, hands slightly wider than shoulder-width apart. Hang with your arms fully extended, keeping your core engaged and your shoulders down and back. Pull your body up towards the bar by squeezing your shoulder blades together and driving your elbows down towards your hips. Continue pulling until your chin is above the bar, then slowly lower yourself back down to the starting position. Repeat for the desired number of repetitions.",images/0970-r1XNRYB.jpg,videos/0970-r1XNRYB.gif,videos/0970-r1XNRYB.gif,true,false
0971,band assisted wheel rollerout,exercisedb,0971,waist,waist,lower back,band,,"Kneel on the floor and hold the handles of the band with both hands, palms facing down. Place the band on the ground in front of you and position your hands shoulder-width apart. Engage your core and slowly roll the wheel forward, extending your body as far as you can while maintaining control. Pause for a moment at the furthest point, then slowly roll the wheel back towards your knees to return to the starting position. Repeat for the desired number of repetitions.",images/0971-zhF9lW4.jpg,videos/0971-zhF9lW4.gif,videos/0971-zhF9lW4.gif,true,false
1254,band bench press,exercisedb,1254,chest,chest,triceps,band,,"Lie flat on a bench with your feet flat on the ground and your back pressed against the bench. Grasp the band handles with an overhand grip, slightly wider than shoulder-width apart. Extend your arms fully, pushing the bands away from your chest. Slowly lower the bands back down to your chest, keeping your elbows at a 90-degree angle. Repeat for the desired number of repetitions.",images/1254-khlHMqs.jpg,videos/1254-khlHMqs.gif,videos/1254-khlHMqs.gif,true,false
0980,band bent-over hip extension,exercisedb,0980,upper legs,upper legs,hamstrings,band,,"Attach the band to a sturdy anchor point at ankle height. Stand facing away from the anchor point with your feet shoulder-width apart. Step back to create tension in the band, keeping your knees slightly bent. Hinge at the hips and lean forward, maintaining a neutral spine. Extend your right leg straight back, squeezing your glutes at the top. Lower your right leg back down and repeat with the left leg. Continue alternating legs for the desired number of repetitions.",images/0980-wSScovH.jpg,videos/0980-wSScovH.gif,videos/0980-wSScovH.gif,true,false
0972,band bicycle crunch,exercisedb,0972,waist,waist,hip flexors,band,,"Lie flat on your back with your hands behind your head and your knees bent. Lift your feet off the ground and bring your right knee towards your chest while simultaneously twisting your torso to bring your left elbow towards your right knee. Straighten your right leg while bringing your left knee towards your chest and twisting your torso to bring your right elbow towards your left knee. Continue alternating the twisting motion, as if you are pedaling a bicycle, while keeping your core engaged throughout the movement. Repeat for the desired number of repetitions.",images/0972-tZkGYZ9.jpg,videos/0972-tZkGYZ9.gif,videos/0972-tZkGYZ9.gif,true,false
0974,band close-grip pulldown,exercisedb,0974,back,back,biceps,band,,"Attach the band to a high anchor point, such as a pull-up bar or sturdy beam. Stand facing the anchor point and grab the band with an underhand grip, hands shoulder-width apart. Step back to create tension in the band, keeping your feet hip-width apart. Engage your core and keep your back straight as you pull the band down towards your chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly release the band back to the starting position. Repeat for the desired number of repetitions.",images/0974-DptumMx.jpg,videos/0974-DptumMx.gif,videos/0974-DptumMx.gif,true,false
0975,band close-grip push-up,exercisedb,0975,upper arms,upper arms,chest,band,,"Place a band around your upper arms, just above the elbows. Assume a push-up position with your hands directly under your shoulders and your body in a straight line from head to heels. Bend your elbows and lower your chest towards the ground, keeping your elbows close to your sides. Push through your palms to extend your arms and return to the starting position. Repeat for the desired number of repetitions.",images/0975-ufaxB52.jpg,videos/0975-ufaxB52.gif,videos/0975-ufaxB52.gif,true,false
0976,band concentration curl,exercisedb,0976,upper arms,upper arms,forearms,band,,"Sit on a bench or chair with your legs spread apart and your feet flat on the ground. Hold one end of the band in your hand and step on the other end with your foot on the same side. Lean forward slightly and rest your elbow on the inside of your thigh, just above the knee. With your palm facing up, slowly curl your hand towards your shoulder, keeping your upper arm stationary. Pause for a moment at the top, then slowly lower your hand back down to the starting position. Repeat for the desired number of repetitions, then switch sides.",images/0976-kmVVAfu.jpg,videos/0976-kmVVAfu.gif,videos/0976-kmVVAfu.gif,true,false
3117,band fixed back close grip pulldown,exercisedb,3117,back,back,biceps,band,,"Attach the band to a fixed point above you, such as a pull-up bar or sturdy beam. Sit down on a bench or chair facing the band, with your feet flat on the ground and your knees bent. Grasp the band with a close grip, palms facing towards you. Keep your back straight and engage your core. Pull the band down towards your chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, feeling the contraction in your lats. Slowly release the band back to the starting position, maintaining control throughout the movement. Repeat for the desired number of repetitions.",images/3117-4LoWllp.jpg,videos/3117-4LoWllp.gif,videos/3117-4LoWllp.gif,true,false
3116,band fixed back underhand pulldown,exercisedb,3116,back,back,biceps,band,,"Attach the band to a sturdy anchor point above your head. Stand facing the anchor point with your feet shoulder-width apart. Grasp the band with an underhand grip, hands slightly wider than shoulder-width apart. Step back to create tension in the band, keeping your arms fully extended. Engage your core and squeeze your shoulder blades together. Pull the band down towards your chest, leading with your elbows. Pause for a moment at the bottom of the movement, feeling the contraction in your lats. Slowly release the tension in the band and return to the starting position. Repeat for the desired number of repetitions.",images/3116-ZH68exZ.jpg,videos/3116-ZH68exZ.gif,videos/3116-ZH68exZ.gif,true,false
0977,band front lateral raise,exercisedb,0977,shoulders,shoulders,traps,band,,"Stand with your feet shoulder-width apart and hold the band in front of your thighs with your palms facing down. Keep your arms straight and lift the band up in front of you until your arms are parallel to the ground. Pause for a moment at the top, then slowly lower the band back down to the starting position. Repeat for the desired number of repetitions.",images/0977-sTg7iys.jpg,videos/0977-sTg7iys.gif,videos/0977-sTg7iys.gif,true,false
0978,band front raise,exercisedb,0978,shoulders,shoulders,triceps,band,,"Stand with your feet shoulder-width apart and hold the band in front of your thighs with your palms facing down. Keep your arms straight and slowly raise them forward until they are parallel to the ground. Pause for a moment at the top, then slowly lower your arms back down to the starting position. Repeat for the desired number of repetitions.",images/0978-TFA88iB.jpg,videos/0978-TFA88iB.gif,videos/0978-TFA88iB.gif,true,false
1408,band hip lift,exercisedb,1408,upper legs,upper legs,hamstrings,band,,"Lie on your back with your knees bent and feet flat on the ground. Place a resistance band just above your knees. Engage your glutes and core muscles. Press your heels into the ground and lift your hips off the floor, squeezing your glutes at the top. Pause for a moment at the top, then slowly lower your hips back down to the starting position. Repeat for the desired number of repetitions.",images/1408-E4R8Hz1.jpg,videos/1408-E4R8Hz1.gif,videos/1408-E4R8Hz1.gif,true,false
0979,band horizontal pallof press,exercisedb,0979,waist,waist,obliques,band,,"Attach the band to a sturdy anchor point at waist height. Stand perpendicular to the anchor point with your feet shoulder-width apart. Grasp the band handle with both hands and step away from the anchor point to create tension in the band. Bring your hands to your chest, keeping your elbows bent and close to your body. Engage your core and maintain a stable stance. Extend your arms straight out in front of you, pushing the band away from your body. Hold the extended position for a few seconds, focusing on maintaining tension in your core. Slowly bring your hands back to your chest, resisting the pull of the band. Repeat for the desired number of repetitions.",images/0979-9pa4H5m.jpg,videos/0979-9pa4H5m.gif,videos/0979-9pa4H5m.gif,true,false
0981,band jack knife sit-up,exercisedb,0981,waist,waist,hip flexors,band,,"Lie flat on your back with your legs straight and your arms extended overhead, holding the band. Engage your abs and lift your legs and upper body simultaneously, bringing your hands towards your feet. Pause for a moment at the top, then slowly lower your legs and upper body back down to the starting position. Repeat for the desired number of repetitions.",images/0981-KCBKjma.jpg,videos/0981-KCBKjma.gif,videos/0981-KCBKjma.gif,true,false
0983,band kneeling one arm pulldown,exercisedb,0983,back,back,biceps,band,,"Attach the band to a sturdy anchor point above your head. Kneel down and hold the band with one hand, palm facing down. Extend your arm fully overhead, keeping your elbow slightly bent. Engage your lat muscles and pull the band down towards your side, bringing your elbow towards your ribcage. Pause for a moment at the bottom, then slowly release the tension and return to the starting position. Repeat for the desired number of repetitions, then switch sides.",images/0983-pmnrOp0.jpg,videos/0983-pmnrOp0.gif,videos/0983-pmnrOp0.gif,true,false
0985,band kneeling twisting crunch,exercisedb,0985,waist,waist,obliques,band,,"Attach the band to a sturdy anchor point at waist height. Kneel down facing away from the anchor point and hold the band with both hands, keeping your elbows bent and close to your sides. Engage your abs and slowly twist your torso to one side, bringing your hands towards your opposite hip. Pause for a moment, then slowly return to the starting position. Repeat on the other side. Continue alternating sides for the desired number of repetitions.",images/0985-225x2Vd.jpg,videos/0985-225x2Vd.gif,videos/0985-225x2Vd.gif,true,false
